Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__REFSEQ:XP_001252647;CON__A2I7N3	CON__REFSEQ:XP_001252647;CON__A2I7N3	1;1	1;1	1;1	;	2	1	1	1	2.2	2.2	2.2	46.897	417	417;417	0.0066351	5.933	0	0	0	0	3026	18653	13151	0	3629.8	23999	11104	0	4265.4	399.93	26134	11538	0	0	0	0	3105.8	17410	12342	896.65	4472.5	22363	10901	0	5518.2	923.19	24594	10854	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	13405000	1			+	0	683	True	703	912	958	958		
CON__P01030;CON__ENSEMBL:ENSBTAP00000007350	CON__P01030;CON__ENSEMBL:ENSBTAP00000007350	2;2	2;2	2;2	;	2	2	2	2	2.2	2.2	2.2	192.79	1741	1741;1742	0	15.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18029000	2			+	1	822;4995	True;True	851;5158	1094;6614	1151;7004	1151;7004		
CON__ENSEMBL:ENSBTAP00000011227	CON__ENSEMBL:ENSBTAP00000011227	1	1	1		1	1	1	1	15.3	15.3	15.3	14.629	137	137	0	8.892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16398000	2			+	2	288	True	295	380;381	400;401	400		
CON__ENSEMBL:ENSBTAP00000018574	CON__ENSEMBL:ENSBTAP00000018574	2	2	2		1	2	2	2	3.4	3.4	3.4	55.207	496	496	0	10.775	0	0	0	0	7281.3	28557	31187	0	9415.1	36424	23141	0	12866	0	58628	20824	0	0	0	0	7463.6	26660	29293	1614.7	11248	33931	22989	926.02	15435	0	55228	19577	0	0	0	0	2	2	2	0	2	2	2	0	2	0	2	2	22816000	2			+	3	296;2380	True;True	303;2445	390;3131	410;3282	410;3282		
CON__ENSEMBL:ENSBTAP00000024146	CON__ENSEMBL:ENSBTAP00000024146	4	4	4		1	4	4	4	4.9	4.9	4.9	164.34	1477	1477	0	31.471	0	0	0	0	152.57	1922.3	1952.8	0	466.9	2476.6	822.58	0	389.29	0	3528.2	1916.8	0	0	0	0	186.17	1795.4	1812.6	142.25	566.92	2310.1	832.71	0	548.28	0	3316.9	1802	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	1	20877000	4			+	4	436;518;775;3037	True;True;True;True	448;535;801;3123	577;694;1031;4018	609;731;1080;4282	609;731;1080;4282		
CON__ENSEMBL:ENSBTAP00000032840;tr|A0A0D9R703|A0A0D9R703_CHLSB	CON__ENSEMBL:ENSBTAP00000032840	8;1	8;1	8;1		2	8	8	8	13.6	13.6	13.6	92.273	825	825;4555	0	56.594	0	0	0	0	10040	33938	32706	36.147	11560	57854	25022	1617.9	19910	0	99742	53218	0	0	0	0	10056	31710	30906	3165.9	13397	53937	24773	2718.2	23951	1260.9	93921	50019	0	0	0	0	2	2	2	1	2	2	2	2	4	0	4	4	159030000	8			+	5	996;1284;1372;1656;1749;1832;2228;4748	True;True;True;True;True;True;True;True	1026;1319;1409;1699;1794;1878;2287;4905	1313;1679;1795;2165;2279;2381;2914;6297	1373;1770;1892;2282;2398;2501;3048;6669	1373;1770;1892;2282;2398;2501;3048;6669		
CON__ENSEMBL:ENSBTAP00000033053	CON__ENSEMBL:ENSBTAP00000033053	1	1	1		1	1	1	1	15.1	15.1	15.1	14.759	139	139	0	16.586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49751000	1			+	6	287	True	294	379	399	399		
CON__P00735	CON__P00735	2	2	2		1	2	2	2	4.3	4.3	4.3	70.505	625	625	0	16.557	0	0	0	0	4114.4	24702	25053	27.673	5340.9	32415	17218	0	5084.2	372.47	42878	45456	0	0	86.738	0	4375.6	23079	23371	2156.5	6908.3	30234	16857	558.01	7217.6	2438.5	40318	42740	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	36828000	2			+	7	2371;3033	True;True	2435;3119	3115;4013	3262;4277	3262;4277		
CON__P00761	CON__P00761	4	4	4		1	4	4	4	25.1	25.1	25.1	24.409	231	231	0	78.924	0	4139.2	0	0	96939	107810	98549	0	120900	127890	114850	0	111100	0	129230	117200	0	3788.5	227.37	0	92121	100640	99302	3326.7	122150	119080	117590	1816.2	114080	3374.8	123160	110140	0	1	0	0	5	5	5	0	5	5	5	0	5	0	5	5	39354000000	17			+	8	2203;2905;3203;4679	True;True;True;True	2260;2261;2985;3296;4834	2879;2880;2881;2882;3837;3838;3839;3840;3841;4260;6203;6204	3012;3013;3014;3015;4080;4081;4082;4083;4084;4085;4086;4087;4544;4545;6573;6574;6575	3013;4087;4544;6575	0	94
CON__P01966;tr|A0A0D9RKZ0|A0A0D9RKZ0_CHLSB;tr|A0A0D9RKY6|A0A0D9RKY6_CHLSB;tr|A0A0D9RL11|A0A0D9RL11_CHLSB	CON__P01966	7;2;2;1	7;2;2;1	7;2;2;1		4	7	7	7	43	43	43	15.184	142	142;101;142;111	0	49.372	0	0	0	69.15	47045	227360	191430	1595.9	54727	380010	178870	241.24	62042	1473.4	475930	520880	0	0	0	437.98	47981	212240	179650	16219	67484	353950	175630	6215.1	85023	20214	447610	489610	0	0	0	1	7	7	7	3	9	9	9	1	9	4	9	9	2149800000	10			+	9	1423;3367;4654;4701;4769;4882;4883	True;True;True;True;True;True;True	1461;3471;3472;4809;4856;4927;5043;5044	1865;1866;4486;4487;4488;6169;6230;6327;6478;6479	1967;1968;4787;4788;4789;6537;6601;6703;6862;6863	1968;4789;6537;6601;6703;6862;6863	1	33
CON__P02070;tr|A0A0D9QW84|A0A0D9QW84_CHLSB;tr|A0A0D9QW82|A0A0D9QW82_CHLSB;tr|A0A0D9QW79|A0A0D9QW79_CHLSB	CON__P02070	4;1;1;1	1;0;0;0	1;0;0;0		4	4	1	1	37.2	13.1	13.1	15.954	145	145;147;147;147	0	8.7063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6696300	1			+	10	1374;3030;3065;4833	True;False;False;False	1411;3116;3152;4992	1798;4010;4068;4069;6406	1895;4274;4345;4346;6785	1895;4274;4346;6785		
tr|A0A0D9S2F0|A0A0D9S2F0_CHLSB;CON__P02533;CON__P08779;tr|A0A0D9S2E8|A0A0D9S2E8_CHLSB;CON__Q6IFX2	tr|A0A0D9S2F0|A0A0D9S2F0_CHLSB;CON__P02533;CON__P08779;tr|A0A0D9S2E8|A0A0D9S2E8_CHLSB	4;4;3;3;1	2;2;1;1;1	1;1;0;0;0	tr|A0A0D9S2F0|A0A0D9S2F0_CHLSB Keratin 14 OS=Chlorocebus sabaeus OX=60711 GN=KRT14 PE=3 SV=1;;;tr|A0A0D9S2E8|A0A0D9S2E8_CHLSB Keratin 16 OS=Chlorocebus sabaeus OX=60711 GN=KRT16 PE=3 SV=1	5	4	2	1	7.6	4.1	1.5	50.378	462	462;472;473;476;452	0	13.443	0	0	0	0	8407.4	41954	36719	0	6695.5	30249	10431	722.19	22563	0	62276	55241	0	0	0	157.1	8630.5	39111	34355	943.05	8552.1	28125	10919	792.19	24349	2143.8	58811	51926	0	0	0	0	1	1	1	0	1	1	1	1	2	0	2	2	68476000	2			+	11	278;867;2772;5016	True;True;False;False	285;897;2849;5180;5181	366;1151;3651;3652;6645;6646	386;1208;3889;3890;7045;7046	386;1208;3890;7046	2	109
CON__P02662	CON__P02662	3	3	3		1	3	3	3	19.6	19.6	19.6	22.975	199	199	0	19.063	0	0	0	0	6796.2	29741	91773	37.861	2781.3	43542	18923	0	9370.3	671.26	47309	93043	0	0	0	165.36	8386.6	27774	84661	2714.7	8073.1	40637	18614	1875.2	11505	4949.3	44548	87482	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	112150000	4			+	12	1000;1176;1379	True;True;True	1030;1210;1417	1317;1544;1805;1806	1377;1625;1902;1903	1377;1625;1903	3	135
